"Sentence","Label"
"[E1]Abe's salamander or Hynobius abei[/E1] live in [E2]secondary bamboo forest or deciduous hardwood forest of the northern region of Kyoto and Hyogo Prefectures in Japan;[/E2]","live_in"
"[E1]Abe's salamander or Hynobius abei[/E1] feed on [E2]earthworms, spiders, and snails as well as various insects and aquatic invertebrates[/E2]","feed_on"
"[E1]Abe's salamander or Hynobius abei[/E1] breed by [E2]laying eggs in shaded pools formed by small springs or seeps in the forest.[/E2]","breed_by"
"[E1]Kori salamander or Hynobius yangi[/E1] live in [E2]cool, moist forest habitats in parts of South Korea;[/E2]","live_in"
"[E1]Kori salamander or Hynobius yangi[/E1] feed on [E2]small invertebrates such as insects, spiders, and worms;[/E2]","feed_on"
"[E1]Kori salamander or Hynobius yangi[/E1] breed by [E2]laying eggs in aquatic environments, where they develop into larvae.[/E2]","breed_by"
"[E1]Central Asian salamander or Ranodon sibiricus[/E1] live in [E2]mountainous regions of Central Asia, primarily in Kazakhstan and China;[/E2]","live_in"
"[E1]Central Asian salamander or Ranodon sibiricus[/E1] feed on [E2]small invertebrates like insects, spiders, and worms;[/E2]","feed_on"
"[E1]Central Asian salamander or Ranodon sibiricus[/E1] breed by [E2]laying eggs in aquatic environments, which hatch into larvae.[/E2]","breed_by"
"[E1]Alabama waterdog or Necturus alabamensis[/E1] live in [E2]the freshwater systems of Alabama, particularly in clear, silt-free creeks and rivers with moderate to fast current;[/E2]","live_in"
"[E1]Alabama waterdog or Necturus alabamensis[/E1] feed on [E2]small invertebrates and occasionally small fish;[/E2]","feed_on"
"[E1]Alabama waterdog or Necturus alabamensis[/E1] breed by [E2]laying eggs which are usually attached to the underside of rocks or logs in water.[/E2]","breed_by"
"[E1]Akaishi salamander or Hynobius katoi[/E1] live in [E2]the montane region of the northwestern part of Shizuoka Prefecture and southeastern part of Nagano Prefecture, on the Akaishi Mountains and along Oi-gawa and Tenryu-gawa rivers, Japan;[/E2]","live_in"
"[E1]Akaishi salamander or Hynobius katoi[/E1] feed on [E2]a variety of invertebrates such as insects, worms, and spiders;[/E2]","feed_on"
"[E1]Akaishi salamander or Hynobius katoi[/E1] breed by [E2]external fertilization of eggs in flowing water underground in spring.[/E2]","breed_by"
"[E1]Odaigahara salamander or Hynobius boulengeri[/E1] live in [E2]deciduous broad-leaved, coniferous, or mixed mountain forests on the slopes or bottoms of small valleys in the mountains of the Kii Peninsula in Honshu, the central mountains in Shikoku, and the Sobo Mountains of Oita Prefecture in Kyushu, Japan;[/E2]","live_in"
"[E1]Odaigahara salamander or Hynobius boulengeri[/E1] feed on [E2]spiders and insects, but it also feed on a large species of earthworm that grow to 160 mm in length;[/E2]","feed_on"
"[E1]Odaigahara salamander or Hynobius boulengeri[/E1] breed by [E2]laying two elongate egg sacs, usually under large rocks from February to the end of May in medium-sized mountain streams, especially near the headwaters.[/E2]","breed_by"
"[E1]Mountain stream salamander or Ambystoma altamirani[/E1] live in [E2]small streams in pine forests, oak-pine mixed forests and high mountain grassland in the central zone of the Mexican Altiplano around the city of Mexico, west and south of the Mexico Valley, north of the Morelos State, central zone of the Mexico State and south of the Distrito Federa;[/E2]","live_in"
"[E1]Mountain stream salamander or Ambystoma altamirani[/E1] feed on [E2]a variety of invertebrates such as insects, worms, and spiders;[/E2]","feed_on"
"[E1]Mountain stream salamander or Ambystoma altamirani[/E1] breed by [E2]laying eggs in  in small, permanent streams flowing through high-elevation pine or pine-oak woodland forests.[/E2]","breed_by"
"[E1]Yellow-peppered salamander or Ambystoma flavipiperatum[/E1] live in [E2]desert scrub vegetation with rocky soil and a multitude of rock outcroppings around Santa Cruz, south-west of Guadalajara in south-central Jalisco and Sierra de Quila, Jalisco, Mexico;[/E2]","live_in"
"[E1]Yellow-peppered salamander or Ambystoma flavipiperatum[/E1] feed on [E2]a variety of invertebrates such as insects, worms, and spiders;[/E2]","feed_on"
"[E1]Yellow-peppered salamander or Ambystoma flavipiperatum[/E1] breed by [E2]females laying eggs.[/E2]","breed_by"
"[E1]Granular salamander or Ambystoma granulosum[/E1] live in [E2]sparse forest and semi-arid grasslands on the northwestern periphery of Toluca city and Michoacán in Central Mexico;[/E2]","live_in"
"[E1]Granular salamander or Ambystoma granulosum[/E1] feed on [E2]a variety of invertebrates such as insects, worms, and spiders;[/E2]","feed_on"
"[E1]Granular salamander or Ambystoma granulosum[/E1] breed by [E2]laying eggs in deep volcanic lakes, shallow vernal pools, artificial cattle ponds, and intermittent, fish-free stream pools.[/E2]","breed_by"
"[E1]Lake Lerma salamander or Ambystoma lermaense[/E1] live in [E2]grassland habitat at central highlands of the State of Mexico, near the city of Toluca, in the Río Lerma and the Lerma Lake around Almoloya, Mexico;[/E2]","live_in"
"[E1]Lake Lerma salamander or Ambystoma lermaense[/E1] feed on [E2]a variety of invertebrates such as insects, worms, and spiders;[/E2]","feed_on"
"[E1]Lake Lerma salamander or Ambystoma lermaense[/E1] breed by [E2]laying eggs in streams, lakes, and moderately deep reservoirs[/E2]","breed_by"
"[E1]Puerto Hondo stream salamander or Ambystoma ordinarium[/E1] live in [E2]streams in pastureland, as well as in forests, in the northeastern parts of the state of Michoacán, from Morelia to the south and east to El Mirador and nearby localities, Mexico;[/E2]","live_in"
"[E1]Puerto Hondo stream salamander or Ambystoma ordinarium[/E1] feed on [E2]both terrestrial and aquatic prey. Terrestrial prey items for this species include grasshoppers, as well as ants, leafhoppers, scuds, earthworms, and nematodes. Aquatic prey items include aquatic insect larvae (especially caddisfly larvae), small aquatic beetles, and clams;[/E2]","feed_on"
"[E1]Puerto Hondo stream salamander or Ambystoma ordinarium[/E1] breed by [E2]laying eggs singly or in clusters of 2-5 eggs onto the undersurfaces of roots, branches, and rocks, hanging free in the current of ponds.[/E2]","breed_by"
"[E1]Sardinian brook salamander or Euproctus platycephalus[/E1] live in [E2]mountainous streams and pools in Sardinia, Italy;[/E2]","live_in"
"[E1]Sardinian brook salamander or Euproctus platycephalus[/E1] feed on [E2]invertebrates such as insects and spiders;[/E2]","feed_on"
"[E1]Sardinian brook salamander or Euproctus platycephalus[/E1] breed by [E2]laying eggs in water which are guarded by males until hatching[/E2]","breed_by"
"[E1]Laos warty newt or Laotriton laoensis[/E1] live in [E2]subtropical or tropical moist lowland forests and rivers in Laos;[/E2]","live_in"
"[E1]Laos warty newt or Laotriton laoensis[/E1] feed on [E2]small invertebrates such as insects, spiders, and worms;[/E2]","feed_on"
"[E1]Laos warty newt or Laotriton laoensis[/E1] breed by [E2]laying eggs in water, which are externally fertilized by the male.[/E2]","breed_by"
"[E1]Black-spotted newt or Notophthalmus meridionalis[/E1] live in [E2]permanent and temporary ponds, roadside ditches, and quiet stream pools permanent and temporary ponds, roadside ditches, and quiet stream pools along the Gulf Coastal Plain, from south of the San Antonio River in Texas southward to Tamaulipas, northern Veracruz, and southeastern San Luis Potosi, Mexico;[/E2]","live_in"
"[E1]Black-spotted newt or Notophthalmus meridionalis[/E1] feed on [E2]seed shrimp (Ostracoda), small snails (Gastropoda), and unidentified insect larvae and eggs;[/E2]","feed_on"
"[E1]Black-spotted newt or Notophthalmus meridionalis[/E1] breed by [E2]attaching laid eggs on a substrate within the water among the submerged vegetation preferably in shallow water.[/E2]","breed_by"
"[E1]Chang's stout newt or Pachytriton changi[/E1] live in [E2]Guangdong, Chna;[/E2]","live_in"
"[E1]Chang's stout newt or Pachytriton changi[/E1] feed on [E2]a variety of aquatic invertebrates, such as worms, insect larvae, and small crustaceans;[/E2]","feed_on"
"[E1]Chang's stout newt or Pachytriton changi[/E1] breed by [E2]females laying eggs which hatch into small salamanders.[/E2]","breed_by"
"[E1]Dabie knobby newt or Tylototriton dabienicus[/E1] live in [E2]in the immense coniferous and cedar forests of 4010 hectares in the Nature Reserve of Huangbaishan, China;[/E2]","live_in"
"[E1]Dabie knobby newt or Tylototriton dabienicus[/E1] feed on [E2]a variety of aquatic invertebrates, such as worms, insect larvae, and small crustaceans;[/E2]","feed_on"
"[E1]Dabie knobby newt or Tylototriton dabienicus[/E1] breed by [E2]laying eggs in the ground in leaf litter and grass near water.[/E2]","breed_by"
"[E1]Alabama waterdog or Necturus alabamensis[/E1] live in [E2]medium to large streams that have logs, submerged ledges, rocks, and other hiding places on the bottom, in the upper (Appalachian) portions of the Black Warrior River drainage, Alabama, USA;[/E2]","live_in"
"[E1]Alabama waterdog or Necturus alabamensis[/E1] feed on [E2]small fish, earthworms, crayfish, isopods, amphipods, freshwater clams and insects, including mayflies, caddisflies, dragonflies, beetles and midges;[/E2]","feed_on"
"[E1]Alabama waterdog or Necturus alabamensis[/E1] breed by [E2]laying eggs on the underside of objects in water.[/E2]","breed_by"
"[E1]Shortsnout water frog or Telmatobius brevirostris[/E1] live in [E2]small streams in shrubland and cloud forest, and is not present in cultivated areas, in the upper Huallaga River and its tributaries, in the Provinces of Ambo and Pachitea, Huánuco Region, Peru;[/E2]","live_in"
"[E1]Shortsnout water frog or Telmatobius brevirostris[/E1] feed on [E2]aquatic invertebrates such as insects, worms, and small crustaceans;[/E2]","feed_on"
"[E1]Shortsnout water frog or Telmatobius brevirostris[/E1] breed by [E2]larval development in streams.[/E2]","breed_by"
"[E1]Piura water frog or Telmatobius ignavus[/E1] live in [E2]under-rocks in streams and associated pools in very humid montane forest, humid lower montane forest, grassland, and possibly dry lower montane forest, in Cordillera de Huancabamba, Peru;[/E2]","live_in"
"[E1]Piura water frog or Telmatobius ignavus[/E1] feed on [E2]various insects;[/E2]","feed_on"
"[E1]Piura water frog or Telmatobius ignavus[/E1] breed by [E2]females laying eggs in the water which then hatch into tadpoles.[/E2]","breed_by"
"[E1]Cajamarca Water Frog or Telmatobius latirostris[/E1] live in [E2]streams in the locality of the town of Cutervo, province of Cutervo, and from Chorro Blanco and Udima, province of Santa Cruz, Cajamarca Region, in the northern Peruvian Andes in Peru;[/E2]","live_in"
"[E1]Cajamarca Water Frog or Telmatobius latirostris[/E1] feed on [E2]aquatic invertebrates such as insects, worms, and small crustaceans; C[/E2]","feed_on"
"[E1]ajamarca Water Frog or Telmatobius latirostris[/E1] breed by [E2]larval development in streams.[/E2]","breed_by"
"[E1]Lake Junin frog or Telmatobius macrostomus[/E1] live in [E2]marshy lakes, such as Lake Junín, smaller, deep, isolated lakes, as well as, streams, rivers, wetlands, and canals around Lake Junín, Peru;[/E2]","live_in"
"[E1]Lake Junin frog or Telmatobius macrostomus[/E1] feed on [E2]snails and mayflies from the available prey in the environment;[/E2]","feed_on"
"[E1]Lake Junin frog or Telmatobius macrostomus[/E1] breed by [E2]females laying eggs in the water which then hatch into tadpoles.[/E2]","breed_by"
"[E1]Zapahuira water frog or Telmatobius zapahuirensis[/E1] live in [E2]streams and small rivers in the high Andes, Chile;[/E2]","live_in"
"[E1]Zapahuira water frog or Telmatobius zapahuirensis[/E1] feed on [E2]aquatic invertebrates such as insects, worms, and small crustaceans;[/E2]","feed_on"
"[E1]Zapahuira water frog or Telmatobius zapahuirensis[/E1] breed by [E2]females laying eggs in the water which then hatch into tadpoles.[/E2]","breed_by"
"[E1]Barahona rock frog or Eleutherodactylus alcoae or Hispaniola dwarf robber frog is a species of frogs which[/E1] live in [E2]dry scrub forest; by day it retreats into caves and rock crevices, found on the Barahona Peninsula of the Dominican Republic and immediately adjacent coastal area in Haiti;[/E2]","live_in"
"[E1]Barahona rock frog or Eleutherodactylus alcoae[/E1] feed on [E2]aquatic invertebrates such as insects, worms, and small crustaceans;[/E2]","feed_on"
"[E1]Barahona rock frog or Eleutherodactylus alcoae[/E1] breed by [E2]direct development where eggs are laid on the ground.[/E2]","breed_by"
"[E1]Jamaican rumpspot frogs or Eleutherodactylus andrewsi[/E1] live in [E2]deep woods on streamside rocks and among ground litter in the Blue and John Crow Mountains of Jamaica at elevations between 400–1,970 m asl;[/E2]","live_in"
"[E1]Jamaican rumpspot frogs or Eleutherodactylus andrewsi[/E1] feed on [E2]aquatic invertebrates such as insects, worms, and small crustaceans;[/E2]","feed_on"
"[E1]Jamaican rumpspot frog or Eleutherodactylus andrewsi[/E1] breed by [E2]direct development and the eggs are laid on the ground.[/E2]","breed_by"
"[E1]Great peeping frog or Eleutherodactylus grandis[/E1] live in [E2]urban areas and  dry shrubland habitats, Mexico;[/E2]","live_in"
"[E1]Great peeping frog or Eleutherodactylus grandis[/E1] feed on [E2]aquatic invertebrates such as insects, worms, and small crustaceans;[/E2]","feed_on"
"[E1]Great peeping frog or Eleutherodactylus grandis[/E1] breed by [E2]direct development.[/E2]","breed_by"
"[E1]Hedrick's coqui or Eleutherodactylus hedricki[/E1] live in [E2]mesic broadleaf forests, Puerto Rico;[/E2]","live_in"
"[E1]Hedrick's coqui or Eleutherodactylus hedricki[/E1] feed on [E2]aquatic invertebrates such as insects, worms, and small crustaceans;[/E2]","feed_on"
"[E1]Hedrick's coqui or Eleutherodactylus hedricki[/E1] breed by [E2]laying eggs in tree trunk cavities.[/E2]","breed_by"
"[E1]Giant wrinkled frog or Nyctibatrachus karnatakaensis[/E1] live in [E2]torrential hill streams in riparian habitat in tropical evergreen forest and caves beneath boulders in the riffle zone of water, Karnataka State, India;[/E2]","live_in"
"[E1]Giant wrinkled frog or Nyctibatrachus karnatakaensis[/E1] feed on [E2]aquatic invertebrates such as insects, worms, and small crustaceans;[/E2]","feed_on"
"[E1]Giant wrinkled frog or Nyctibatrachus karnatakaensis[/E1] breed by [E2]larval development in streams.[/E2]","breed_by"
"[E1]Kalakad wrinkled frog or Nyctibatrachus vasanthi[/E1] live in [E2]shallow water within disturbed tropical moist forest, close to a cardamom plantation and within undisturbed forest, in the Kalakad-Mundanthurai Tiger Reserve in Tamil Nadu, in the southern Western Ghats of India;[/E2]","live_in"
"[E1]Kalakad wrinkled frog or Nyctibatrachus vasanthi[/E1] feed on [E2]aquatic invertebrates such as insects, worms, and small crustaceans;[/E2]","feed_on"
"[E1]Kalakad wrinkled frog or Nyctibatrachus vasanthi[/E1] breed by [E2]larval development in streams[/E2]","breed_by"
"[E1]Nyctibatrachus sanctipalustris[/E1] live in [E2]marshes within moist tropical forest in Kudremukh National Park, and Jog and Kemphole Ghats, all in Karnataka, in the Western Ghats of India;[/E2]","live_in"
"[E1]Nyctibatrachus sanctipalustris[/E1] feed on [E2]aquatic invertebrates such as insects, worms, and small crustaceans;[/E2]","feed_on"
"[E1]Nyctibatrachus sanctipalustris[/E1] breed by [E2]larval development in water.[/E2]","breed_by"
"[E1]Nyctibatrachus minor[/E1] live in [E2]riparian habitats and hill streams in tropical moist evergreen forest; it may be found at the forest edge, but not in heavily cultivated land, in  the southern region of the Western Ghats of India; Nyctibatrachus minor feed on aquatic invertebrates such as insects, worms, and small crustaceans;[/E2]","live_in"
"[E1]Nyctibatrachus minor[/E1] breed by [E2]larval development in streams.[/E2]","breed_by"
"[E1]Nyctibatrachus beddomii[/E1] live in [E2]leaf-litter, under rocks and logs, evergreen and semi-evergreen moist and deciduous forest, in the southern region of the Western Ghats in India;[/E2]","live_in"
"[E1]Nyctibatrachus beddomii[/E1] feed on [E2]aquatic invertebrates such as insects, worms, and small crustaceans;[/E2]","feed_on"
"[E1]Nyctibatrachus beddomii[/E1] breed by [E2]larval development in streams.[/E2]","breed_by"
"[E1]Thorny tree frog or Gracixalus lumarius[/E1] live in [E2]relatively undisturbed montane evergreen and bamboo forest, in Ngoc Linh Nature Reserve, Dak Glei District, and  Kon Tum Province, Vietnam;[/E2]","live_in"
"[E1]Thorny tree frog or Gracixalus lumarius[/E1] feed on [E2]aquatic invertebrates such as insects, worms, and small crustaceans;[/E2]","feed_on"
"[E1]Thorny tree frog or Gracixalus lumarius[/E1] breed by [E2]depositing around 130 small eggs on the walls of water-filled tree holes.[/E2]","breed_by"
"[E1]Quyet's treefrog or Gracixalus quyeti[/E1] live in [E2]lowland evergreen, montane evergreen, and karst forest in Vietnam and Laos;[/E2]","live_in"
"[E1]Quyet's treefrog or Gracixalus quyeti[/E1] feed on [E2]aquatic invertebrates such as insects, worms, and small crustaceans;[/E2]","feed_on"
"[E1]Quyet's treefrog or Gracixalus quyeti[/E1] breed by [E2]females laying eggs in the water which then hatch into tadpoles.[/E2]","breed_by"
"[E1]Romer's tree frog or Liuixalus romeri[/E1] live in [E2]forests, old plantations and nearby streams and marshes in four islands of Lantau, Lamma, Chek Lap Kok and Po Toi in Hong Kong;[/E2]","live_in"
"[E1]Romer's tree frog or Liuixalus romeri[/E1] feed on [E2]termites, and such small insects as crickets and arachnids such as spiders;[/E2]","feed_on"
"[E1]Romer's tree frog or Liuixalus romeri[/E1] breed by [E2]laying eggs in shaded temporary pools, marshes, seepages, slow-flowing stream pools, ponds and water-filled small containers from early March to September and the female glues up to 120 eggs onto submerged plant debris, stones, or vegetation.[/E2]","breed_by"
"[E1]Kerangas bubble-nest frog or Philautus kerangae[/E1] live in [E2]tropical heath forests, also known as kerangas forests, in Borneo;[/E2]","live_in"
"[E1]Kerangas bubble-nest frog or Philautus keranga[/E1] feed on [E2]small invertebrates such as insects and spiders;[/E2]","feed_on"
"[E1]Kerangas bubble-nest frog or Philautus kerangae[/E1] breed by [E2]direct development.[/E2]","breed_by"
"[E1]Sri Lanka short-horned shrub-frog or Pseudophilautus singu[/E1] live in [E2]lowland and mid-elevation rainforests in Sri Lanka;[/E2]","live_in"
"[E1]Sri Lanka short-horned shrub-frog or Pseudophilautus singu[/E1] feed on [E2]aquatic invertebrates such as insects, worms, and small crustaceans;[/E2]","feed_on"
"[E1]Sri Lanka short-horned shrub-frog or Pseudophilautus singu[/E1] breed by [E2]direct development and are laid in a depression in the soil and the female covers it up later.[/E2]","breed_by"
"[E1]Llanos rocket frog or Allobates ranoides[/E1] live in [E2]the tropical savannas, grasslands, and marshes in the Llanos region of Colombia;[/E2]","live_in"
"[E1]Llanos rocket frog or Allobates ranoides[/E1] feed on [E2]a variety of small invertebrates such as insects, spiders, and worms;[/E2]","feed_on"
"[E1]Llanos rocket frog or Allobates ranoides[/E1] breed by [E2]laying eggs in moist leaf litter.[/E2]","breed_by"
"[E1]Whitebelly rocket frog or Aromobates alboguttatus[/E1] live in [E2]the montane forests and paramo ecosystems in the Venezuelan Andes;[/E2]","live_in"
"[E1]Whitebelly rocket frog or Aromobates alboguttatus[/E1] feed on [E2]small invertebrates including various types of insects;[/E2]","feed_on"
"[E1]Whitebelly rocket frog or Aromobates alboguttatus[/E1] breed by [E2]laying eggs in terrestrial nests.[/E2]","breed_by"
"[E1]El Vivero rocket frog or Aromobates haydeeae[/E1] live in [E2]clear, fast-flowing streams in Andean cloud forests, and in the puddles alongside the streams, and is sometimes hidden inside introduced "kikuyo" pasture grasses in Venezuela; El Vivero rocket frog or Aromobates haydeeae feed on a variety of small invertebrates such as insects, spiders, and worms;[/E2]","live_in"
"[E1]El Vivero rocket frog or Aromobates haydeeae[/E1] breed by [E2]laying eggs on land, where the male protects the eggs then carry the larvae on his back after hatching to water where they develop further.[/E2]","breed_by"
"[E1]Las Playitas rocket frog or Aromobates molinarii[/E1] live in [E2]dry evergreen montane forest, where it lives along slow-flowing streams in Venezuela;[/E2]","live_in"
"[E1]Las Playitas rocket frog or Aromobates molinarii[/E1] feed on [E2]a variety of small invertebrates such as insects, spiders, and worms;[/E2]","feed_on"
"[E1]Las Playitas rocket frog or Aromobates molinarii[/E1] breed by [E2]laying eggs on land where they are protected by the male and after hatching, the male carries the larvae on his back to water where they develop further.[/E2]","breed_by"
"[E1]Pefaur's rocket frog or Aromobates serranus[/E1] live in [E2]mountain streams in cloud forest in Mérida, Venezuela;[/E2]","live_in"
"[E1]Pefaur's rocket frog or Aromobates serranus[/E1] feed on [E2]a variety of small invertebrates such as insects, spiders, and worms;[/E2]","feed_on"
"[E1]Pefaur's rocket frog or Aromobates serranus[/E1] breed by [E2]laying eggs on land where they are protected by the male. After hatching, the male carries the larvae on his back to water where they develop further.[/E2]","breed_by"
"[E1]Mazumbai warty frog or Callulina kisiwamsitu[/E1] live in [E2]forest habitats, but has also been recorded from forest margins in the West Usambara Mountains of Tanzania;[/E2]","live_in"
"[E1]Mazumbai warty frog or Callulina kisiwamsitu[/E1] feed on [E2]a variety of small invertebrates such as insects, spiders, and worms;[/E2]","feed_on"
"[E1]Mazumbai warty frog or Callulina kisiwamsitu[/E1] breed by [E2]direct development where juvenile frogs hatch directly from the eggs.[/E2]","breed_by"
"[E1]Usambara big-fingered frog or Probreviceps macrodactylus[/E1] live in [E2]the Usambara Mountains of Tanzania;[/E2]","live_in"
"[E1]Usambara big-fingered frog or Probreviceps macrodactylus[/E1] feed on [E2]small invertebrates, including insects and spiders;[/E2]","feed_on"
"[E1]Usambara big-fingered frog or Probreviceps macrodactylus[/E1] breed by [E2]likely laying eggs that develop directly into juvenile frogs without a tadpole stage.[/E2]","breed_by"
"[E1]Highland rain frog or Probreviceps rhodesianus[/E1] live in [E2]high-altitude areas in Zimbabwe and Mozambique;[/E2]","live_in"
"[E1]Highland rain frog or Probreviceps rhodesianus[/E1] feed on [E2]small invertebrates, including insects;[/E2]","feed_on"
"[E1]Highland rain frog or Probreviceps rhodesianus[/E1] breed by [E2]presumably laying terrestrial eggs which hatch directly into small frogs, skipping the tadpole phase.[/E2]","breed_by"
"[E1]Probreviceps rungwensis[/E1] live in [E2]montane and submontane forests where it is semi-fossorial;[/E2]","live_in"
"[E1]Probreviceps rungwensis[/E1] feed on [E2]insects, spiders, and other small invertebrates;[/E2]","feed_on"
"[E1]Probreviceps rungwensis[/E1] breed by [E2]depositing eggs in burrows where they breed by direct development without a larval stage.[/E2]","breed_by"
"[E1]Probreviceps uluguruensis[/E1] live in [E2]montane grassland which also occurs marginally in montane forest, where it live in the ground and is semi-fossorial in the Uluguru Mountains in eastern Tanzania;[/E2]","live_in"
"[E1]Probreviceps uluguruensis[/E1] feed on [E2]insects, spiders, and other small invertebrates;[/E2]","feed_on"
"[E1]Probreviceps uluguruensis[/E1] breed by [E2]depositing eggs under grass tufts in burrows where they breed by direct development without a larval stage.[/E2]","breed_by"
"[E1]Western leopard toad or Amietophrynus pantherinus[/E1] live in [E2]fynbos heathland, farmland, suburban gardens, and urban open areas, although always in close proximity to freshwater habitats, in the Western Cape Province in South Africa;[/E2]","live_in"
"[E1]Western leopard toad or Amietophrynus pantherinus[/E1] feed on [E2]insects, snails, smaller frogs and many other smaller organism;[/E2]","feed_on"
"[E1]Western leopard toad or Amietophrynus pantherinus[/E1] breed by [E2]laying thousands of eggs in gelatinous strings and development of the eggs into tadpoles and then into baby toads.[/E2]","breed_by"
"[E1]Tai toad or Amietophrynus taiensis[/E1] live in [E2]primary rainforest of Taï National Park in southwestern Côte d'Ivoire and the Gola Forest in southeastern Sierra Leone ;[/E2]","live_in"
"[E1]Tai toad or Amietophrynus taiensis[/E1] feed on [E2]insects, including beetles, ants, and other small invertebrates;[/E2]","feed_on"
"[E1]Tai toad or Amietophrynus taiensis[/E1] breed by [E2]laying eggs in gelatinous strings and then development of the eggs into tadpoles and into baby toads.[/E2]","breed_by"
"[E1]Arroyo toad  or Anaxyrus californicus[/E1] live in [E2]sandy or cobbly washes with swift currents and associated upland and riparian habitats in Southern California from Santa Barbara County south into northwestern Baja California;[/E2]","live_in"
"[E1]Arroyo toad  or Anaxyrus californicus[/E1] feed on [E2]ants and other small insects, small beetles and caterpillars, moths, crickets, snails, eggs and larvae of other Arroyo toads;[/E2]","feed_on"
"[E1]Arroyo toad  or Anaxyrus californicus[/E1] breed by [E2]the female toad laying eggs in a two-row formation with an average of 4,700 eggs and the eggs hatch in between four and six days.[/E2]","breed_by"
"[E1]Houston toad or Anaxyrus houstonensis[/E1] live in [E2]areas with loose, sandy soils greater than 40 inches or 100 cm in depth and large rolling uplands and is endemic to Texas in the United States;[/E2]","live_in"
"[E1]Houston toad or Anaxyrus houstonensis[/E1] feed on [E2]insects and small invertebrates, ground beetles, small toads and ants;[/E2]","feed_on"
"[E1]Houston toad or Anaxyrus houstonensis[/E1] breed by [E2]females laying several thousand eggs in long single-egg strands that are fertilized externally by the male as they are laid and the eggs hatch within seven days  and small isolated pools and ponds are the main breeding ground.[/E2]","breed_by"
"[E1]Amargosa toad or Anaxyrus nelsoni[/E1] live in [E2]16 kilometre stretch of the Amargosa River in the Oasis Valley between Springdale and Beatty, in tributary springs and in nearby isolated springs and is endemic to the Oasis Valley in the Amargosa Desert in Nye County, Nevada, United States;[/E2]","live_in"
"[E1]Amargosa toad or Anaxyrus nelsoni[/E1] feed on [E2]insects and other small invertebrates;[/E2]","feed_on"
"[E1]Amargosa toad or Anaxyrus nelsoni[/E1] breed by [E2]females laying eggs in the springs where there is often little aquatic vegetation and larvae develop in spring waters and streams that must last long enough for the larvae to metamorphose and emerge onto land[/E2]","breed_by"
"[E1]Gunther's robber frog or Guerreran robber frog or Craugastor omiltemanus[/E1] live in [E2]are pine, oak, and pine-oak forests with plenty of leaf-litter on the ground and is endemic to the Sierra Madre del Sur in the Guerrero state, Mexico; Gunther's robber frog or Guerreran robber frog or Craugastor omiltemanus feed on a diet primarily composed of small invertebrates;[/E2]","live_in"
"[E1]Gunther's robber frog or Guerreran robber frog or Craugastor omiltemanus[/E1] breed by [E2]direct development where the eggs hatch directly into small frogs without a tadpole stage.[/E2]","breed_by"
